date,* zet Pup,* bet TrA,* alf Ara,* bet Car,* alf Gru,* eta UMa,* gam TrA,* eps UMa,* iot Car,* zet Aql
2027-04-07,19.220,10.274,16.083,18.245,59.628,2.092,11.545,7.844,12.932,37.942
2027-04-08,18.914,8.847,14.453,17.399,58.072,1.563,10.210,7.478,12.252,36.384
2027-04-09,18.606,7.422,12.820,16.555,56.510,1.040,8.878,7.116,11.574,34.822
2027-04-10,18.299,5.998,11.186,15.713,54.942,0.524,7.547,6.756,10.900,33.256
2027-04-11,17.990,4.575,9.550,14.872,53.368,0.013,6.218,6.399,10.228,31.687
2027-04-12,17.681,3.154,7.912,14.032,51.790,0.491,4.891,6.045,9.560,30.115
2027-04-13,17.372,1.736,6.274,13.195,50.206,0.990,3.568,5.694,8.895,28.541
2027-04-14,17.063,0.320,4.635,12.360,48.618,1.482,2.248,5.345,8.233,26.964
2027-04-15,16.753,1.092,2.996,11.528,47.026,1.967,0.931,5.000,7.576,25.385
2027-04-16,16.443,2.501,1.356,10.698,45.430,2.447,0.381,4.658,6.921,23.804
2027-04-17,16.133,3.906,0.283,9.871,43.830,2.921,1.689,4.318,6.271,22.222
2027-04-18,15.822,5.307,1.922,9.046,42.227,3.388,2.993,3.981,5.624,20.638
2027-04-19,15.512,6.704,3.561,8.225,40.620,3.850,4.291,3.648,4.981,19.053
2027-04-20,15.201,8.095,5.198,7.407,39.010,4.305,5.584,3.317,4.342,17.467
2027-04-21,14.890,9.481,6.835,6.592,37.397,4.755,6.872,2.988,3.707,15.880
2027-04-22,14.578,10.862,8.471,5.780,35.782,5.198,8.154,2.663,3.076,14.292
2027-04-23,14.267,12.237,10.105,4.972,34.164,5.636,9.429,2.340,2.449,12.704
2027-04-24,13.955,13.605,11.737,4.168,32.543,6.068,10.698,2.020,1.827,11.116
2027-04-25,13.643,,13.368,3.367,30.920,6.495,11.960,1.702,1.208,9.527
2027-04-26,13.331,,14.996,2.569,29.296,6.916,13.215,1.387,0.593,7.939
2027-04-27,13.019,,,1.776,27.669,7.332,14.463,1.074,0.018,6.351
2027-04-28,12.706,,,0.986,26.041,7.742,15.702,0.764,0.624,4.763
2027-04-29,12.394,,,0.201,24.411,8.147,16.934,0.456,1.227,3.176
2027-04-30,12.080,,,0.581,22.779,8.547,18.157,0.150,1.825,1.589
2027-05-01,11.767,,,1.359,21.147,8.941,19.372,0.153,2.419,0.003
2027-05-02,11.453,,,2.132,19.513,9.331,20.577,0.454,3.009,1.581
2027-05-03,11.139,,,2.901,17.878,9.716,,0.753,3.595,3.164
2027-05-04,10.825,,,3.666,16.243,10.096,,1.050,4.177,4.746
2027-05-05,10.510,,,4.426,14.607,10.471,,1.345,4.755,6.326
2027-05-06,10.195,,,5.182,12.971,10.841,,1.637,5.328,7.904
2027-05-07,9.880,,,5.934,11.334,11.207,,1.928,5.898,9.480
2027-05-08,9.564,,,6.681,9.697,11.568,,2.217,6.463,11.053
2027-05-09,9.247,,,7.424,8.060,11.925,,2.504,7.025,12.625
2027-05-10,8.930,,,8.162,6.424,12.277,,2.789,7.582,14.193
2027-05-11,8.613,,,8.895,4.788,12.626,,3.073,8.135,15.758
2027-05-12,8.295,,,9.623,3.152,12.970,,3.355,8.684,17.320
2027-05-13,7.976,,,10.347,1.517,13.310,,3.635,9.229,18.879
2027-05-14,7.657,,,11.066,0.117,13.645,,3.913,9.771,20.434
2027-05-15,7.337,,,11.781,1.750,13.977,,4.190,10.308,21.985
2027-05-16,7.016,,,12.490,3.382,14.305,,4.465,10.841,23.532
2027-05-17,6.694,,,13.195,5.013,14.630,,4.739,11.371,25.075
2027-05-18,6.372,,,13.896,6.643,14.950,,5.012,11.897,26.614
2027-05-19,6.048,,,14.591,8.271,15.267,,5.283,12.419,28.148
2027-05-20,5.724,,,15.282,9.898,15.581,,5.553,12.937,29.677
2027-05-21,5.399,,,15.968,11.524,15.891,,5.822,13.452,31.202
2027-05-22,5.073,,,16.649,13.148,16.198,,6.089,13.963,32.721
2027-05-23,4.745,,,17.326,14.770,16.501,,6.356,14.471,34.234
2027-05-24,4.417,,,17.998,16.390,16.801,,6.621,14.975,35.743
2027-05-25,4.087,,,18.665,18.009,17.098,,6.885,15.476,37.245
2027-05-26,3.756,,,19.327,19.625,17.392,,7.149,15.973,38.741
2027-05-27,3.424,,,19.985,21.239,17.683,,7.411,16.467,40.230
2027-05-28,3.091,,,20.638,22.851,17.971,,7.673,16.957,41.713
2027-05-29,,,,,,,,,,
